t=2021-11-22T19:45:24-0500 lvl=info msg="no configuration paths supplied"
t=2021-11-22T19:45:24-0500 lvl=info msg="using configuration at default config path" path=C:\\Users\\Cesar/.ngrok2/ngrok.yml
t=2021-11-22T19:45:24-0500 lvl=info msg="open config file" path=C:\\Users\\Cesar\\.ngrok2\\ngrok.yml err=nil
t=2021-11-22T19:45:24-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-11-22T19:45:24-0500 lvl=info msg=start pg=/grpc/agent.Web/State id=cef41e9f4aa185ba
t=2021-11-22T19:45:24-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-11-22T19:45:24-0500 lvl=info msg="client session established" obj=csess id=11348fed500d
t=2021-11-22T22:04:21-0500 lvl=info msg="join connections" obj=join id=0dcee3deb2ff l=[::1]:3389 r=35.231.211.58:49464
t=2021-11-22T22:04:22-0500 lvl=info msg="join connections" obj=join id=ca0acf7ae730 l=[::1]:3389 r=35.231.211.58:49508
t=2021-11-22T22:04:23-0500 lvl=info msg="join connections" obj=join id=ac3921d24345 l=[::1]:3389 r=35.231.211.58:49546
t=2021-11-22T22:04:24-0500 lvl=info msg="join connections" obj=join id=1bb31e246204 l=[::1]:3389 r=35.231.211.58:49570
t=2021-11-22T22:04:25-0500 lvl=info msg="join connections" obj=join id=c34ff3300d90 l=[::1]:3389 r=35.231.211.58:49584
t=2021-11-22T22:04:26-0500 lvl=info msg="join connections" obj=join id=e52f45f4bb77 l=[::1]:3389 r=35.231.211.58:49602
t=2021-11-22T22:05:18-0500 lvl=info msg="join connections" obj=join id=7cc6145e40b2 l=[::1]:3389 r=88.135.241.136:58451
t=2021-11-22T22:09:32-0500 lvl=info msg="join connections" obj=join id=1083e16dcc98 l=[::1]:3389 r=88.135.241.136:2354
t=2021-11-22T22:29:00-0500 lvl=info msg="join connections" obj=join id=1923074db268 l=[::1]:3389 r=5.62.49.89:35806
t=2021-11-22T22:33:42-0500 lvl=info msg="join connections" obj=join id=fe427b49323d l=[::1]:3389 r=35.199.5.104:60856
t=2021-11-22T22:33:43-0500 lvl=info msg="join connections" obj=join id=fa90aa28a9f1 l=[::1]:3389 r=35.199.5.104:60874
t=2021-11-22T22:50:10-0500 lvl=info msg="join connections" obj=join id=9936f9017c37 l=[::1]:3389 r=88.135.241.136:43686
t=2021-11-22T23:08:29-0500 lvl=info msg="join connections" obj=join id=b05d289c5b13 l=[::1]:3389 r=35.199.5.104:36810
t=2021-11-22T23:08:30-0500 lvl=info msg="join connections" obj=join id=acbd73bb59b4 l=[::1]:3389 r=35.199.5.104:36828
t=2021-11-22T23:18:48-0500 lvl=info msg="join connections" obj=join id=852504d12c74 l=[::1]:3389 r=88.135.241.136:54302
t=2021-11-22T23:22:41-0500 lvl=info msg="join connections" obj=join id=b5ee654d2a78 l=[::1]:3389 r=88.135.241.136:3189
t=2021-11-22T23:43:24-0500 lvl=info msg="join connections" obj=join id=5f95c2130d40 l=[::1]:3389 r=35.199.5.104:39964
